match_id,date,format,pitch_type,stadium,difficulty,innings_number,player_name,opponent_name,runs,overs,wickets,is_chasing,result,fifties,hundreds,double_hundreds,triple_hundreds,quadruple_hundreds,quintuple_hundreds,ducks
1,2024-11-24,T20,Bouncy,1,Ultra Insane,1,Karthik,Sid,31,15.0,0,False,Loss,0,0,0,0,0,0,0
1,2024-11-24,T20,Bouncy,1,Ultra Insane,2,Sid,Karthik,111,10.0,2,True,Win,0,1,0,0,0,0,0
2,2024-09-20,T20,Dry,2,Medium,1,Ragz,Nikita,77,15.0,0,False,Win,1,0,0,0,0,0,0
2,2024-09-20,T20,Dry,2,Medium,2,Nikita,Ragz,77,20.0,1,True,Loss,1,0,0,0,0,0,0
3,2024-04-15,ODI,Dry,3,Hard,1,Karthik,Anya,222,50.0,1,False,Win,0,0,1,0,0,0,0
3,2024-04-15,ODI,Dry,3,Hard,2,Anya,Karthik,104,40.0,5,True,Loss,0,1,0,0,0,0,0
4,2024-08-04,Test,Normal,4,Ultra Insane,1,Zafi,Anya,13,60.0,2,False,Loss,0,0,0,0,0,0,0
4,2024-08-04,Test,Normal,4,Ultra Insane,2,Anya,Zafi,88,30.0,2,True,Win,1,0,0,0,0,0,0
5,2024-05-18,ODI,Dry,5,Medium,1,Leo,Sid,12,40.0,1,False,Loss,0,0,0,0,0,0,0
5,2024-05-18,ODI,Dry,5,Medium,2,Sid,Leo,189,40.0,3,True,Win,0,1,0,0,0,0,0
6,2024-02-02,T20,Normal,6,Ultra Insane,1,Zafi,Vikram,44,20.0,4,False,Win,0,0,0,0,0,0,0
6,2024-02-02,T20,Normal,6,Ultra Insane,2,Vikram,Zafi,47,15.0,5,True,Loss,0,0,0,0,0,0,0
7,2024-01-15,ODI,Dry,7,Hard,1,Leo,Zafi,100,30.0,3,False,Win,0,1,0,0,0,0,0
7,2024-01-15,ODI,Dry,7,Hard,2,Zafi,Leo,120,20.0,3,True,Loss,0,1,0,0,0,0,0
8,2024-08-30,Test,Bouncy,8,Insane,1,Zafi,Karthik,187,40.0,1,False,Loss,0,1,0,0,0,0,0
8,2024-08-30,Test,Bouncy,8,Insane,2,Karthik,Zafi,63,60.0,3,True,Win,1,0,0,0,0,0,0
